x86,arm,code
c9 c3 660f1f840000000000,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"{
"
c745fc0e000000,528001c0 b9001fe0,"    int a=14, b;
"
8b45fc f7d0 8945f8,b9401fe0 2a2003e0 b9001be0,"    b = ~a;
"
8b45f8 89c6 bf04204000 b800000000 e8dffeffff,b9401be1 90000000 911b4000 97ffffac,"    printf(""Value of c = %d\n"",b);
"
b800000000,52800000,"    return 0;
"
c9 c3 0f1f840000000000,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"{
"
bf04204000 e8d8feffff,90000000 911e0000 97ffffb2,"        printf(""Enter temp in fahrenheit :\n"");
"
488d45f8 4889c6 bf1f204000 b800000000 e8e2feffff,910063e0 aa0003e1 90000000 911e8000 97ffffb1,"        scanf(""%f"", &f);
"
f30f1045f8 f30f1015c10e0000 0f28c8 f30f5cca f30f1005b60e0000 f30f59c1 f30f100dae0e0000 f30f5ec1 f30f1145fc,bd401be1 0f026440 1e203821 1e229000 1e200821 1e245000 1e201820 bd001fe0,"        c = (f-32)*5/9;
"
660fefdb f30f5a5dfc 66480f7ed8 66480f6ec0 bf22204000 b801000000 e87ffeffff b800000000,bd401fe0 1e22c000 90000000 911ea000 97ffffa8 52800000,"        printf(""Temp in celcius is : %f"",c);
"
c9 c3 0f1f840000000000,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"  int main() {
"
bf04204000 e8d8feffff,90000000 91208000 97ffffb2,"    printf(""enter a number\n"");
"
488d45fc 4889c6 bf13204000 b800000000 e8e2feffff,910073e0 aa0003e1 90000000 9120c000 97ffffb1,"    scanf(""%d"", & n);
"
8b45fc 83e001 85c0 7507 8b45fc 85c0 7f35,b9401fe0 12000000 7100001f 54000081 b9401fe0 7100001f 540002ec,"    if (n % 2 == 0 && n > 0)
"
8b45fc 83e001 85c0 7407 8b45fc 85c0 7836,b9401fe0 12000000 7100001f 54000080 b9401fe0 7100001f 540002ab,"    else if (n % 2 != 0 && n < 0)
"
8b45fc 83e001 85c0 7507 8b45fc 85c0 7837,b9401fe0 12000000 7100001f 54000081 b9401fe0 7100001f 5400026b,"    else if (n % 2 == 0 && n < 0)
"
8b45fc 83e001 85c0 7450 8b45fc 85c0 7e49,b9401fe0 12000000 7100001f 54000300 b9401fe0 7100001f 540002ad,"    else if (n % 2 != 0 && n > 0)
"
eb36,14000010,"      goto d;
"
90,d503201f,"      goto a;
"
bf16204000 b800000000 e87cfeffff,90000000 9120e000 97ffff94,"      printf(""number is even and positive"");
"
eb46,14000014,"    goto stop;
"
90,d503201f,"      goto b;
"
bf32204000 b800000000 e86afeffff,90000000 91216000 97ffff8f,"      printf(""number is odd and negative"");
"
eb34,1400000f,"    goto stop;
"
90,d503201f,"      goto c;
"
bf4d204000 b800000000 e858feffff,90000000 9121e000 97ffff8a,"      printf(""number is even and negative"");
"
eb22,1400000a,"    goto stop;
"
bf69204000 b800000000 e847feffff,90000000 91226000 97ffff86,"      printf(""number is odd and positive"");
"
eb11,14000006,"    goto stop;
"
90,d503201f,"      goto e;
"
bf84204000 b800000000 e835feffff,90000000 9122e000 97ffff81,"      printf(""special number"");
"
90,d503201f,"    goto stop;
"
b800000000,52800000,"      return 0;
"
c9 c3 662e0f1f840000000000 0f1f00,a8c27bfd d65f03c0,"  }
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"{ float a,r;
"
bf08204000 b800000000 e8e3feffff,90000000 911d2000 97ffffb6,"printf(""Enter the Radius : "");
"
488d45f8 4889c6 bf1c204000 b800000000 e8ddfeffff,910063e0 aa0003e1 90000000 911d8000 97ffffad,"scanf(""%f"",&r);
"
f30f1045f8 660fefc9 f30f5ac8 f20f1005b80e0000 f20f59c8 f30f1045f8 f30f5ac0 f20f59c1 f20f5ac0 f30f1145fc,bd401be0 1e22c000 90000000 fd43bc01 1e610801 bd401be0 1e22c000 1e600820 1e624000 bd001fe0,"a=3.14*r*r;
"
660fefd2 f30f5a55fc 66480f7ed0 66480f6ec0 bf1f204000 b801000000 e87cfeffff,bd401fe0 1e22c000 90000000 911da000 97ffffa2,"printf(""Area is %f"",a);
"
90 c9 c3 660f1f840000000000,d503201f a8c27bfd d65f03c0,"}
"
55 4889e5 4881ecb00f0000,d13f03ff a9007bfd 910003fd,"{
"
bf08204000 e8d5feffff,90000000 91234000 97ffffb1,"  printf(""Enter number of elements\n"");
"
488d45f0 4889c6 bf21204000 b800000000 e8dffeffff,913ec3e0 aa0003e1 90000000 9123c000 97ffffb0,"  scanf(""%d"", &n);
"
8b45f0 89c6 bf24204000 b800000000 e8bbfeffff,b94fb3e0 2a0003e1 90000000 9123e000 97ffffaf,"  printf(""Enter %d integers\n"", n);
"
c745fc00000000 eb2a 8345fc01 8b45f0 3945fc 7cce,b90fbfff 1400000c b94fbfe0 11000400 b90fbfe0 b94fb3e0 b94fbfe1 6b00003f 54fffe4b,"  for (c = 0; c < n; c++)
"
488d8550f0ffff 8b55fc 4863d2 48c1e202 4801d0 4889c6 bf21204000 b800000000 e89cfeffff,910043e1 b98fbfe0 d37ef400 8b000020 aa0003e1 90000000 9123c000 97ffffa1,"    scanf(""%d"", &array[c]);
"
c745fc01000000 eb71 8345fc01 8b45f0 3945fc 7c87,52800020 b90fbfe0 1400002f b94fbfe0 11000400 b90fbfe0 b94fb3e0 b94fbfe1 6b00003f 54fff9eb,"  for (c = 1 ; c <= n - 1; c++) {
"
8b45fc 8945f8,b94fbfe0 b90fbbe0,"    d = c;
"
eb40 837df800 7e1f 8b45f8 83e801 4898 8b948550f0ffff 8b45f8 4898 8b848550f0ffff 39c2 7f9b,1400001a b94fbbe0 7100001f 540001ad b94fbbe0 51000400 93407c00 d37ef400 910043e1 b8606821 b98fbbe0 d37ef400 910043e2 b8606840 6b00003f 54fffb2c,"    while ( d > 0 && array[d-1] > array[d]) {
"
8b45f8 4898 8b848550f0ffff 8945f4,b98fbbe0 d37ef400 910043e1 b8606820 b90fb7e0,"      t          = array[d];
"
8b45f8 83e801 4898 8b948550f0ffff 8b45f8 4898 89948550f0ffff,b94fbbe0 51000400 93407c00 d37ef400 910043e1 b8606822 b98fbbe0 d37ef400 910043e1 b8206822,"      array[d]   = array[d-1];
"
8b45f8 83e801 4898 8b55f4 89948550f0ffff,b94fbbe0 51000400 93407c00 d37ef400 910043e1 b94fb7e2 b8206822,"      array[d-1] = t;
"
836df801,b94fbbe0 51000400 b90fbbe0,"      d--;
"
bf38204000 e8e4fdffff,90000000 91244000 97ffff5e,"  printf(""Sorted list in ascending order:\n"");
"
c745fc00000000 eb21 8345fc01 8b45f0 3945fc 7cd7,b90fbfff 1400000c b94fbfe0 11000400 b90fbfe0 b94fb3e0 b94fbfe1 6b00003f 54fffe4b,"  for (c = 0; c <= n - 1; c++) {
"
8b45fc 4898 8b848550f0ffff 89c6 bf58204000 b800000000 e8cefdffff,b98fbfe0 d37ef400 910043e1 b8606820 2a0003e1 90000000 9124c000 97ffff5c,"    printf(""%d\n"", array[c]);
"
b800000000,52800000,"  return 0;
"
c9 c3 662e0f1f840000000000 90,a9407bfd 913f03ff d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"{
"
c745fc0e000000 c745f807000000,528001c0 b9001fe0 528000e0 b9001be0,"    int a=14, b= 7, c;
"
8b45fc 2345f8 8945f4,b9401fe1 b9401be0 0a000020 b90017e0,"    c =a&b;
"
8b45f4 89c6 bf04204000 b800000000 e8d7feffff,b94017e1 90000000 911b6000 97ffffa9,"    printf(""Value of c = %d\n"",c);
"
b800000000,52800000,"    return 0;
"
c9 c3,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"{
"
bf08204000 e8d8feffff,90000000 911e8000 97ffffb2,"    printf(""Enter two no :\n"");
"
488d55f8 488d45fc 4889c6 bf17204000 b800000000 e8defeffff,910063e1 910073e0 aa0103e2 aa0003e1 90000000 911ec000 97ffffaf,"    scanf(""%d%d"",&a,&b);
"
8b55fc 8b45f8 31d0 8945fc,b9401fe1 b9401be0 4a000020 b9001fe0,"    a = a^b;
"
8b55fc 8b45f8 31d0 8945f8,b9401fe1 b9401be0 4a000020 b9001be0,"    b = a^b;
"
8b55fc 8b45f8 31d0 8945fc,b9401fe1 b9401be0 4a000020 b9001fe0,"    a=  a^b;
"
8b55f8 8b45fc 89c6 bf20204000 b800000000 e896feffff,b9401fe0 b9401be1 2a0103e2 2a0003e1 90000000 911ee000 97ffffa0,"    printf(""After swapping value of a and b : %d,%d"",a,b);
"
b800000000,52800000,"    return 0;
"
c9 c3 662e0f1f840000000000 0f1f440000,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"int main(void) {
"
c745fc00000000,b9001fff,"    int num = 0; // This is the Number that will be incremented.
"
c745f801000000,52800020 b9001be0,"    int increment = 1; // This is what we'll be using to increment(add) onto num.
"
eb24 837dfc63 7ed6,1400000b b9401fe0 71018c1f 54fffe8d,"    while(num < 100) {
"
bf01000000 e8e8feffff,52800020 97ffffa7,"        sleep(1); // Wait 1 second each time, num has it's Value incremented
"
8b45f8 0145fc,b9401fe1 b9401be0 0b000020 b9001fe0,"        num += increment; // Increment num
"
8b45fc 89c6 bf04204000 b800000000 e8befeffff,b9401fe1 90000000 911cc000 97ffffab,"        printf(""%d\n"", num); // Print the current Value of num
"
b800000000,52800000,"    return 0;
"
c9 c3 90,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec20,a9bd7bfd 910003fd,"{
"
bf04204000 e8d8feffff,90000000 91202000 97ffffb2,"    printf(""Enter marks of 5 subjects : \n"");
"
488d7de0 488d75e4 488d4de8 488d55ec 488d45f0 4989f9 4989f0 4889c6 bf21204000 b800000000 e8ccfeffff,910043e4 910053e3 910063e2 910073e1 910083e0 aa0403e5 aa0303e4 aa0203e3 aa0103e2 aa0003e1 90000000 9120a000 97ffffa9,"    scanf(""%d%d%d%d%d"",&a,&b,&c,&d,&e);
"
8b55f0 8b45ec 01c2 8b45e8 01c2 8b45e4 01c2 8b45e0 01d0 660fefc0 f30f2ac0 f30f1145fc,b94023e1 b9401fe0 0b000021 b9401be0 0b000021 b94017e0 0b000021 b94013e0 0b000020 1e270000 5e21d800 bd002fe0,"    total  = a+b+c+d+e;
"
f30f1045fc f30f100db30e0000 f30f5ec1 f30f1145f8,1e229000 bd402fe1 1e201820 bd002be0,"    average = total/5;
"
f30f1045fc f30f1015a10e0000 0f28c8 f30f5eca f30f1005960e0000 f30f59c1 f30f1145f4,52a87f40 1e270001 bd402fe0 1e211800 52a85900 1e270001 1e210800 bd0027e0,"    percentage  = (total/500)*100;
"
660fefdb f30f5a5dfc 66480f7ed8 66480f6ec0 bf2c204000 b801000000 e83bfeffff,bd402fe0 1e22c000 90000000 9120e000 97ffff90,"    printf(""Total marks = %f\n"", total);
"
660fefe4 f30f5a65f8 66480f7ee0 66480f6ec0 bf3e204000 b801000000 e819feffff,bd402be0 1e22c000 90000000 91214000 97ffff8b,"    printf(""Average marks = %f\n"",average );
"
660fefed f30f5a6df4 66480f7ee8 66480f6ec0 bf52204000 b801000000 e8f7fdffff,bd4027e0 1e22c000 90000000 9121a000 97ffff86,"    printf(""Net percentage = %f\n"",percentage);
"
b800000000,52800000,"    return 0;
"
c9 c3,a8c37bfd d65f03c0,"}
"
55 4889e5 4883ec20,a9bd7bfd 910003fd,"int main() {
"
c745e005000000 c745e40f000000 c745e818000000 c745ec20000000 c745f038000000 c745f459000000,90000000 91204000 910043e2 aa0003e3 a9400460 a9000440 f9400860 f9000840,"	int arr[] = {5, 15, 24, 32, 56, 89};
"
c745fc06000000,528000c0 b9002fe0,"	int size_of_array = sizeof(arr) / sizeof(int);
"
8b45fc 8d50ff 488d45e0 89d1 ba00000000 be18000000 4889c7 e847000000 89c6 bf04204000 b800000000 e8a2feffff,b9402fe0 51000401 910043e0 2a0103e3 52800002 52800301 94000013 2a0003e1 90000000 91202000 97ffffa0,"	printf(""%d\n"", binarySearch(arr, 24, 0, size_of_array-1));
"
8b45fc 8d50ff 488d45e0 89d1 ba00000000 be76000000 4889c7 e818000000 89c6 bf04204000 b800000000 e873feffff,b9402fe0 51000401 910043e0 2a0103e3 52800002 52800ec1 94000008 2a0003e1 90000000 91202000 97ffff95,"	printf(""%d\n"", binarySearch(arr, 118, 0, size_of_array-1));
"
b800000000,52800000,"	return 0;
"
c9 c3,a8c37bfd d65f03c0,"}
"
55 4889e5 4883ec30 48897de8 8975e4 8955e0 894ddc,a9bc7bfd 910003fd f90017e0 b90027e1 b90023e2 b9001fe3,"int binarySearch(int array[], int number, int start, int end) {
"
8b45e0 3b45dc 7c21,b94023e1 b9401fe0 6b00003f 5400016b,"	if(start >= end) {
"
8b45e0 4898 488d148500000000 488b45e8 4801d0 8b00 3945e4 0f95c0 0fb6c0 eb78,b98023e0 d37ef400 f94017e1 8b000020 b9400000 b94027e1 6b00003f 1a9f07e0 12001c00 14000023,"		return array[start] == number ? 0 : 1;
"
8b45dc 89c2 c1ea1f 01d0 d1f8 8945fc,b9401fe0 531f7c01 0b000020 13017c00 b9003fe0,"	int tmp = (int) end / 2;
"
8b45fc 4898 488d148500000000 488b45e8 4801d0 8b00 3945e4 7507,b9803fe0 d37ef400 f94017e1 8b000020 b9400000 b94027e1 6b00003f 54000061,"	if(number == array[tmp]) {
"
b800000000 eb47,52800000 14000014,"		return 0;
"
8b45fc 4898 488d148500000000 488b45e8 4801d0 8b00 3945e4 7e17,b9803fe0 d37ef400 f94017e1 8b000020 b9400000 b94027e1 6b00003f 540000ed,"	} else if(number > array[tmp]) {
"
8b4dfc 8b55e0 8b75e4 488b45e8 4889c7 e861ffffff eb15,b9403fe3 b94023e2 b94027e1 f94017e0 97ffffd1 14000006,"		return binarySearch(array, number, start, tmp);
"
8b4ddc 8b55fc 8b75e4 488b45e8 4889c7 e84affffff,b9401fe3 b9403fe2 b94027e1 f94017e0 97ffffcb,"		return binarySearch(array, number, tmp, end);
"
c9 c3 0f1f4000,a8c47bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"int main(){
"
bf04204000 b800000000 e8e3feffff,90000000 9120c000 97ffffb6,"    printf(""Enter number: "");
"
488d45fc 4889c6 bf13204000 b800000000 e8ddfeffff,910073e0 aa0003e1 90000000 91210000 97ffffad,"    scanf(""%d"", &input);
"
bf16204000 b800000000 e8befeffff,90000000 91212000 97ffffae,"    printf(""Enter base: "");
"
488d45f8 4889c6 bf13204000 b800000000 e8b8feffff,910063e0 aa0003e1 90000000 91210000 97ffffa5,"    scanf(""%d"", &base);
"
8b55f8 8b45fc 89c6 bf23204000 b800000000 e891feffff,b9401fe0 b9401be1 2a0103e2 2a0003e1 90000000 91216000 97ffffa2,"    printf(""%d to base %d : "", input, base);
"
8b55f8 8b45fc 89d6 89c7 e807000000,b9401fe0 b9401be1 94000004,"    printDigit(input, base);
"
b800000000,52800000,"    return 0;
"
c9 c3,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec20 897dec 8975e8,a9bd7bfd 910003fd b9001fe0 b9001be1,"void printDigit(int num, int base){
"
837dec00 7e54,b9401fe0 7100001f 540003ed,"    if(num > 0){
"
8b45ec 99 f77de8 8955fc,b9401fe0 b9401be1 1ac10c02 b9401be1 1b017c41 4b010000 b9002fe0,"        int digit = num % base;
"
8b45fc 2945ec,b9401fe1 b9402fe0 4b000020 b9001fe0,"        num = num - digit;
"
8b45ec 99 f77de8 8945ec,b9401fe1 b9401be0 1ac00c20 b9001fe0,"        num = num / base;
"
8b55e8 8b45ec 89d6 89c7 e8c3ffffff,b9401be1 b9401fe0 97ffffe8,"        printDigit(num, base);
"
837dfc09 7e0f,b9402fe0 7100241f 540000ad,"        if(digit > 9){
"
8b45fc 83c037 89c7 e81bfeffff eb17,b9402fe0 1100dc00 97ffff81 14000007,"            printf(""%c"", 55 + digit);
"
8b45fc 89c6 bf13204000 b800000000 e815feffff eb01,b9402fe1 90000000 91210000 97ffff78 14000002,"            printf(""%d"", digit);
"
90,d503201f,"        return;
"
c9 c3,a8c37bfd d65f03c0,}
55 4889e5 4883ec10,a9be7bfd 910003fd,"{
"
bf04204000 e8d8feffff,90000000 911da000 97ffffb2,"    printf(""Enter Uppercase letter :\n"");
"
488d45fe 4889c6 bf1d204000 b800000000 e8e2feffff,91007be0 aa0003e1 90000000 911e2000 97ffffb1,"    scanf(""%c"", &a);
"
0fb645fe 83c020 8845ff,39407be0 11008000 39007fe0,"    u = a + 32;
"
0fbe45ff 89c6 bf20204000 b800000000 e8b3feffff,39407fe0 2a0003e1 90000000 911e4000 97ffffad,"    printf(""Lowercase is : %c"", u);
"
b800000000,52800000,"    return 0;
"
c9 c3 662e0f1f840000000000 6690,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec20,a9bd7bfd 910003fd,"	{
"
c745f800000000,b9002bff,"	int i,j = 0,num[MAX];
"
bf08204000 e8d1feffff,90000000 91250000 97ffffb1,"	printf(""Enter numbers in the range of 1 to 9 \n"");
"
c745fc00000000 eb59 837dfc04 7ea1,b9002fff 1400001e b9402fe0 7100101f 54fffc2d,"	for(i = 0; i<MAX; )
"
488d45e0 8b55fc 4863d2 48c1e202 4801d0 4889c6 bf2e204000 b800000000 e8c5feffff,910043e1 b9802fe0 d37ef400 8b000020 aa0003e1 90000000 9125a000 97ffffab,"		scanf(""%d"",&num[i]);
"
8b45fc 4898 8b4485e0 83e801 83f808 7706,b9802fe0 d37ef400 910043e1 b8606820 51000400 7100201f 540000a8,"		switch (num[i])
"
8345fc01,b9402fe0 11000400 b9002fe0,"			case 9: i++;
"
eb08,14000004,"			break;
"
c745f801000000,52800020 b9002be0,"                 j = 1;
"
90,d503201f,"                 break;
"
837df801 7511,b9402be0 7100041f 540000a1,"		if(j == 1)
"
bf31204000 b800000000 e881feffff,90000000 9125c000 97ffff9b,"            printf(""NO MORE INPUT"");
"
eb06,14000004,"            break;
"
bf3f204000 e85ffeffff,90000000 91260000 97ffff8c,"		printf(""Multiple of 3's \n\n"");
"
8b55fc 488d45e0 89d6 4889c7 b800000000 e831000000,910043e0 b9402fe1 9400000d,"		printMultiple(num, i);
"
bf51204000 e83ffeffff,90000000 91266000 97ffff86,"		printf(""\n\n\n"");
"
bf54204000 e835feffff,90000000 91268000 97ffff83,"		printf(""EVEN numbers\n\n\n"");
"
8b55fc 488d45e0 89d6 4889c7 b800000000 e897000000 b800000000,910043e0 b9402fe1 94000030 52800000,"		printEven(num, i);
"
c9 c3,a8c37bfd d65f03c0,"	}
"
55 4889e5 4883ec20 48897de8 8975e4,a9bd7bfd 910003fd f9000fe0 b90017e1,"	{
"
c745fc00000000 eb6d 8345fc01 8b45fc 3b45e4 7c8b,b9002fff 14000020 b9402fe0 11000400 b9002fe0 b9402fe1 b94017e0 6b00003f 54fffbcb,"		for(i = 0; i<len; i++)
"
8b45fc 4898 488d148500000000 488b45e8 4801d0 8b10 4863c2 4869c056555555 48c1e820 89d1 c1f91f 29c8 8945f8 8b4df8 89c8 01c0 01c8 29c2 8955f8,b9802fe0 d37ef400 f9400fe1 8b000020 b9400001 528aaac0 72aaaaa0 9b207c20 d360fc02 131f7c20 4b000042 2a0203e0 531f7800 0b020000 4b000020 b9002be0,"            int ans3 = num[i]%3;
"
837df800 7527,b9402be0 7100001f 54000141,"            switch (ans3)
"
8b45fc 4898 488d148500000000 488b45e8 4801d0 8b00 89c6 bf63204000 b800000000 e8a7fdffff,b9802fe0 d37ef400 f9400fe1 8b000020 b9400000 2a0003e1 90000000 9126c000 97ffff63,"                printf(""%d \n"", num[i]);
"
90 c9 c3,d503201f a8c37bfd d65f03c0,"	}
"
55 4889e5 4883ec20 48897de8 8975e4,a9bd7bfd 910003fd f9000fe0 b90017e1,"	{
"
c745fc00000000 eb59 8345fc01 8b45fc 3b45e4 7c9f,b9002fff 14000019 b9402fe0 11000400 b9002fe0 b9402fe1 b94017e0 6b00003f 54fffcab,"		for(i = 0; i<len; i++)
"
8b45fc 4898 488d148500000000 488b45e8 4801d0 8b10 89d0 c1f81f c1e81f 01c2 83e201 29c2 8955f8,b9802fe0 d37ef400 f9400fe1 8b000020 b9400000 7100001f 12000000 5a80a400 b9002be0,"            int ans_even = num[i]%2;
"
837df800 7527,b9402be0 7100001f 54000141,"            switch (ans_even)
"
8b45fc 4898 488d148500000000 488b45e8 4801d0 8b00 89c6 bf63204000 b800000000 e82bfdffff,b9802fe0 d37ef400 f9400fe1 8b000020 b9400000 2a0003e1 90000000 9126c000 97ffff3e,"                printf(""%d \n"", num[i]);
"
90 c9 c3 662e0f1f840000000000 6690,d503201f a8c37bfd d65f03c0,"	}
"
55 4889e5 4883ec20,a9bd7bfd 910003fd,"{
"
48c745f001000000,d2800020 f90013e0,"    unsigned long long factorial = 1;
"
bf08204000 b800000000 e8dbfeffff,90000000 911e0000 97ffffb4,"    printf(""Enter a number: "");
"
488d45ec 4889c6 bf19204000 b800000000 e8d5feffff,910073e0 aa0003e1 90000000 911e6000 97ffffab,"    scanf(""%d"",&n);
"
8b45ec 85c0 7911,b9401fe0 7100001f 540000aa,"    if (n < 0)
"
bf20204000 b800000000 e8affeffff eb3e,90000000 911e8000 97ffffa9 14000015,"        printf(""Error! Factorial of a negative number doesn't exist."");
"
c745fc01000000 eb15 8345fc01 8b45ec 3945fc 7ee3,52800020 b9002fe0 14000008 b9402fe0 11000400 b9002fe0 b9401fe0 b9402fe1 6b00003f 54fffecd,"        for(i=1; i<=n; ++i)
"
8b45fc 4898 488b55f0 480fafc2 488945f0,b9802fe0 f94013e1 9b007c20 f90013e0,"            factorial *= i;              // factorial = factorial*i;
"
8b45ec 488b55f0 89c6 bf55204000 b800000000 e86ffeffff,b9401fe0 f94013e2 2a0003e1 90000000 911f6000 97ffff94,"        printf(""Factorial of %d = %llu"", n, factorial);
"
b800000000,52800000,"    return 0;
"
c9 c3 0f1f840000000000,a8c37bfd d65f03c0,"}
"
55 4889e5,a9bf7bfd 910003fd,"{
"
488b05072f0000 c70005000000,b0000080 9100e000 f9400000 528000a1 b9000001,"    (*first).data = 5;
"
488b05fa2e0000 488b15fb2e0000 48895008,b0000080 9100e000 f9400000 b0000081 91010021 f9400021 f9000401,"    (*first).next = second;
"
488b05e82e0000 8b00 89c6 bf04204000 b800000000 e8cdfeffff b800000000,b0000080 9100e000 f9400000 b9400000 2a0003e1 90000000 911be000 97ffffa1 52800000,"    printf(""%d"", (*first).data);
"
5d c3 660f1f440000,a8c17bfd d65f03c0,"}
"
55 4889e5 4881ec00020100,d10803ff d14043ff a9007bfd 910003fd,"int main(){
"
bf04204000 b800000000 e8e0feffff,90000000 91272000 97ffffb4,"	printf(""Enter no of test cases: "");
"
488d850cfefeff 4889c6 bf1d204000 b800000000 e8d7feffff,910053e0 aa0003e1 90000000 9127a000 97ffffab,"	scanf(""%d"", &testcases);
"
e970010000 8b850cfefeff 8d50ff 89950cfefeff 85c0 0f8579feffff b800000000,14000097 b94017e0 51000401 b90017e1 7100001f 54ffecc1 52800000,"	while(testcases--){
"
bf20204000 b800000000 e8b3feffff,90000000 9127c000 97ffffab,"		printf(""Enter number:"");
"
488d8508fefeff 4889c6 bf1d204000 b800000000 e8aafeffff,910043e0 aa0003e1 90000000 9127a000 97ffffa2,"		scanf(""%d"", &num);
"
c745fc00000000 eb14 8345fc01 817dfc73400000 7ee3,914043e0 b901fc1f 1400000b 914043e0 b941fc00 11000400 914043e1 b901fc20 914043e0 b941fc01 52880e60 6b00003f 54fffe4d,"		for(int i=0; i<16500; i++)
"
8b45fc 4898 c7848510fefeff00000000,914043e0 b981fc00 d37ef400 910063e1 b820683f,"			ans[i]=0;
"
c78510fefeff01000000,52800020 b9001be0,"		ans[0]=1;
"
c745f402000000 e990000000 8345f401 8b8508fefeff 3945f4 0f8e61ffffff,52800040 914043e1 b901f420 14000044 914043e0 b941f400 11000400 914043e1 b901f420 b94013e0 914043e1 b941f421 6b00003f 54fff72d,"		for(int i=2; i<=num; i++){
"
c745f800000000,914043e0 b901f81f,"			carry=0;
"
c745f000000000 eb73 8345f001 817df073400000 7e84,914043e0 b901f01f 14000035 914043e0 b941f000 11000400 914043e1 b901f020 914043e0 b941f001 52880e60 6b00003f 54fff90d,"			for(int j=0; j<16500; j++){
"
8b45f0 4898 8b848510fefeff 8b55f4 0fafc2 8945e8,914043e0 b981f000 d37ef400 910063e1 b8606820 914043e1 b941f421 1b007c20 914043e1 b901e820,"				 m= i*ans[j];
"
8b45f8 0145e8,914043e0 b941e801 914043e0 b941f800 0b000020 914043e1 b901e820,"				 m+= carry;
"
8b4de8 4863c1 4869c067666666 48c1e820 89c2 c1fa02 89c8 c1f81f 29c2 89d0 c1e002 01d0 01c0 29c1 89ca 8b45f0 4898 89948510fefeff,914043e0 b941e802 528ccce0 72acccc0 9b207c40 d360fc00 13027c01 131f7c40 4b000021 2a0103e0 531e7400 0b010000 531f7800 4b000041 914043e0 b981f000 d37ef400 910063e2 b8206841,"				 ans[j]=m%10;
"
8b45e8 4863d0 4869d267666666 48c1ea20 89d1 c1f902 99 89c8 29d0 8945f8,914043e0 b941e800 528ccce1 72acccc1 9b217c01 d360fc21 13027c21 131f7c00 4b000020 914043e1 b901f820,"				 carry=m/10;
"
c745ec73400000,52880e60 914043e1 b901ec20,"		int i=16500-1;
"
eb04 8b45ec 4898 8b848510fefeff 85c0 7506 837dec00 79e6,14000006 914043e0 b981ec00 d37ef400 910063e1 b8606820 7100001f 540000a1 914043e0 b941ec00 7100001f 54fffe2a,"		while(ans[i]==0 && i>=0){
"
836dec01,914043e0 b941ec00 51000400 914043e1 b901ec20,"			i--;
"
8b8508fefeff 89c6 bf2e204000 b800000000 e885fdffff,b94013e0 2a0003e1 90000000 91280000 97ffff2d,"		printf(""\t%d! ="", num);
"
eb21 837dec00 79d9,1400000f 914043e0 b941ec00 7100001f 54fffdea,"		while(i>=0){
"
8b45ec 4898 8b848510fefeff 89c6 bf1d204000 b800000000 e866fdffff,914043e0 b981ec00 d37ef400 910063e1 b8606820 2a0003e1 90000000 9127a000 97ffff23,"			printf(""%d"", ans[i]);
"
836dec01,914043e0 b941ec00 51000400 914043e1 b901ec20,"			i--;
"
bf0a000000 e842fdffff,52800140 97ffff1c,"		printf(""\n"");
"
c9 c3 0f1f4000,a9407bfd 910803ff 914043ff d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"{
"
c745fc05000000 c745f80a000000,528000a0 b9001fe0 52800140 b9001be0,"	int num1=5, num2=10;
"
488d55f8 488d45fc 4889c6 bf08204000 b800000000 e8dafeffff,910063e1 910073e0 aa0103e2 aa0003e1 90000000 911c8000 97ffffaa,"	printf(""The numbers are: %d and %d"", &num1,&num2);
"
8b55fc 8b45f8 01d0 8945fc,b9401fe1 b9401be0 0b000020 b9001fe0,"	num1=num1+num2; //num1=15 and num2=10
"
8b55fc 8b45f8 29c2 8955f8,b9401fe1 b9401be0 4b000020 b9001be0,"	num2=num1-num2; //num1=15 and num2=5
"
8b55fc 8b45f8 29c2 8955fc,b9401fe1 b9401be0 4b000020 b9001fe0,"	num1=num1-num2; //num1=10 and num2=5
"
488d55f8 488d45fc 4889c6 bf28204000 b800000000 e89ffeffff,910063e1 910073e0 aa0103e2 aa0003e1 90000000 911d0000 97ffff97,"	printf(""The numbers have been swapped with new positions: %d and %d"", &num1,&num2);
"
b800000000,52800000,"	return 0;
"
c9 c3 0f1f840000000000,a8c27bfd d65f03c0,}
55 4889e5 53 4883ec38 4889e0 4889c3,a9bb7bfd 910003fd f9000bf3 910003e8 aa0803f3,"{
"
